code,name,market,sector,industry,categories
042670,HD현대인프라코어,KOSPI200,,,기계/장비
001450,현대해상,KOSPI200,,,손해보험
030000,제일기획,KOSPI200,,,엔터테인
026960,동서,KOSPI200,,,식음료
014680,한솔케미칼,KOSPI200,,,화학
018880,한온시스템,KOSPI200,,,자동차
361610,SK아이이테크놀로지,KOSPI200,,,지주사
139130,iM금융지주,KOSPI200,,,"은행,지주사"
139480,이마트,KOSPI200,,,유통/백화점
009970,영원무역홀딩스,KOSPI200,,,지주사
004170,신세계,KOSPI200,,,유통/백화점
051600,한전KPS,KOSPI200,,,에너지
008930,한미사이언스,KOSPI200,,,"바이오/제약/의학,지주사"
028670,팬오션,KOSPI200,,,해운/물류/항공
000120,CJ대한통운,KOSPI200,,,해운/물류/항공
002790,아모레퍼시픽홀딩스,KOSPI200,,,"지주사,화장품/뷰티"
005850,에스엘,KOSPI200,,,자동차
023530,롯데쇼핑,KOSPI200,,,유통/백화점
069620,대웅제약,KOSPI200,,,바이오/제약/의학
069960,현대백화점,KOSPI200,,,유통/백화점
489790,한화비전,KOSPI200,,,IT부품/장비
006040,동원산업,KOSPI200,,,식음료
192820,코스맥스,KOSPI200,,,화장품/뷰티
008770,호텔신라,KOSPI200,,,"유통/백화점,여행/레저"
073240,금호타이어,KOSPI200,,,자동차
011210,현대위아,KOSPI200,,,자동차
112610,씨에스윈드,KOSPI200,,,에너지
007070,GS리테일,KOSPI200,,,유통/백화점
010060,OCI홀딩스,KOSPI200,,,"에너지,화학"
282330,BGF리테일,KOSPI200,,,유통/백화점
006360,GS건설,KOSPI200,,,건설
161890,한국콜마,KOSPI200,,,화장품/뷰티
375500,DL이앤씨,KOSPI200,,,건설
007310,오뚜기,KOSPI200,,,식음료
007340,DN오토모티브,KOSPI200,,,자동차
047040,대우건설,KOSPI200,,,건설
457190,이수스페셜티케미컬,KOSPI200,,,"화학,2차전지"
003090,대웅,KOSPI200,,,바이오/제약/의학
006280,녹십자,KOSPI200,,,바이오/제약/의학
017960,한국카본,KOSPI200,,,"화학,조선"
300720,한일시멘트,KOSPI200,,,건설
001800,오리온홀딩스,KOSPI200,,,"지주사,식음료"
012630,HDC,KOSPI200,,,"건설,지주사"
009240,한샘,KOSPI200,,,건설
192080,더블유게임즈,KOSPI200,,,게임
005300,롯데칠성,KOSPI200,,,식음료
000080,하이트진로,KOSPI200,,,식음료
000670,영풍,KOSPI200,,,"철강,자원개발/상사"
004000,롯데정밀화학,KOSPI200,,,"방산,화학"
280360,롯데웰푸드,KOSPI200,,,식음료
285130,SK케미칼,KOSPI200,,,"화학,지주사"
071320,지역난방공사,KOSPI200,,,에너지
120110,코오롱인더,KOSPI200,,,화학
137310,에스디바이오센서,KOSPI200,,,바이오/제약/의학
185750,종근당,KOSPI200,,,바이오/제약/의학
114090,GKL,KOSPI200,,,여행/레저
093370,후성,KOSPI200,,,"화학,2차전지"
069260,TKG휴켐스,KOSPI200,,,화학
039130,하나투어,KOSPI200,,,여행/레저
014820,동원시스템즈,KOSPI200,,,"화학,2차전지"
006650,대한유화,KOSPI200,,,화학
005250,녹십자홀딩스,KOSPI200,,,"지주사,바이오/제약/의학"
004490,세방전지,KOSPI200,,,"자동차,2차전지"
003240,태광산업,KOSPI200,,,"섬유/의복,화학"
001430,세아베스틸지주,KOSPI200,,,"철강,은행,지주사"
000210,DL,KOSPI200,,,"화학,지주사"
298050,HS효성첨단소재,KOSPI200,,,화학
298020,효성티앤씨,KOSPI200,,,화학
268280,미원에스씨,KOSPI200,,,화학
003620,KG모빌리티,KOSPI200,,,자동차
003030,세아제강지주,KOSPI200,,,"은행,지주사"
002840,미원상사,KOSPI200,,,화학
145720,덴티움,KOSPI200,,,바이오/제약/의학
456040,OCI,KOSPI200,,,"에너지,화학"
001680,대상,KOSPI200,,,식음료
005420,코스모화학,KOSPI200,,,"방산,화학"
008730,율촌화학,KOSPI200,,,"방산,화학"
002710,TCC스틸,KOSPI200,,,"철강,2차전지"
