code,name,market,sector,industry
280360,롯데웰푸드,KOSPI200,,
285130,SK케미칼,KOSPI200,,
071320,지역난방공사,KOSPI200,,
120110,코오롱인더,KOSPI200,,
137310,에스디바이오센서,KOSPI200,,
185750,종근당,KOSPI200,,
114090,GKL,KOSPI200,,
093370,후성,KOSPI200,,
069260,TKG휴켐스,KOSPI200,,
039130,하나투어,KOSPI200,,
014820,동원시스템즈,KOSPI200,,
006650,대한유화,KOSPI200,,
005250,녹십자홀딩스,KOSPI200,,
004490,세방전지,KOSPI200,,
003240,태광산업,KOSPI200,,
001430,세아베스틸지주,KOSPI200,,
000210,DL,KOSPI200,,
298050,HS효성첨단소재,KOSPI200,,
298020,효성티앤씨,KOSPI200,,
268280,미원에스씨,KOSPI200,,
003620,KG모빌리티,KOSPI200,,
003030,세아제강지주,KOSPI200,,
002840,미원상사,KOSPI200,,
145720,덴티움,KOSPI200,,
456040,OCI,KOSPI200,,
001680,대상,KOSPI200,,
005420,코스모화학,KOSPI200,,
008730,율촌화학,KOSPI200,,
002710,TCC스틸,KOSPI200,,
